num_nodes,packet_loss,run_id,converged,total_messages,true_mean,final_consensus_mean,mean_relative_error,within_5pct_of_true,remaining_mass,mass_loss_pct
4,0.0,61,True,70,62.0,62.000053393494866,2.2203668014448627e-06,True,248.0,0.0
4,0.0,62,True,67,45.25,45.25001517767362,1.1225932859438166e-06,True,181.0,0.0
4,0.0,63,True,66,34.5,34.49998682772005,6.308461849520744e-07,True,138.0,0.0
4,0.0,64,True,67,64.0,64.00000085326494,2.2131272250924816e-07,True,256.0,0.0
4,0.0,65,True,65,62.75,62.75001566588144,4.960687812930849e-07,True,251.0,0.0
4,0.0,66,True,69,45.0,44.99999911346511,8.71948855044972e-08,True,180.0,0.0
4,0.0,67,True,75,46.25,46.250005045273426,3.4176336867317695e-07,True,185.0,0.0
4,0.0,68,True,71,46.25,46.25001037421205,6.14184815457815e-07,True,185.0,0.0
4,0.0,69,True,68,72.75,72.75019127742695,2.9022979574455883e-06,True,291.0,0.0
4,0.0,70,True,66,50.25,50.24997393602593,1.2688443266863297e-06,True,201.0,0.0
4,0.0,71,True,81,62.5,62.500012511092976,3.137417560594713e-07,True,250.0,0.0
4,0.0,72,True,62,41.0,41.00007371508825,2.772115616947389e-06,True,164.0,0.0
4,0.0,73,True,60,45.25,45.250004771931,1.5137945267840917e-06,True,181.0,0.0
4,0.0,74,True,59,64.75,64.74996556362028,1.3649818901668232e-06,True,259.0,0.0
4,0.0,75,True,73,37.0,36.999997430783765,5.397789460088971e-07,True,148.0,0.0
4,0.0,76,True,61,78.0,77.99996070549724,1.8755981302776859e-06,True,312.0,0.0
4,0.0,77,True,65,42.75,42.75001050730089,1.4945591301887374e-06,True,171.0,0.0
4,0.0,78,True,64,39.75,39.75000843396956,8.024581003486667e-07,True,159.0,0.0
4,0.0,79,True,71,43.75,43.74999949264458,1.9465413121874267e-07,True,175.0,0.0
4,0.0,80,True,64,58.75,58.75000033275148,2.8653340381608477e-07,True,235.0,0.0
4,0.0,81,True,71,48.5,48.50004178939324,1.1417413842678733e-06,True,194.0,0.0
4,0.0,82,True,74,51.25,51.250059573105204,1.7535365997662488e-06,True,205.0,0.0
4,0.0,83,True,60,54.75,54.750018359172735,1.6501945090883603e-06,True,219.0,0.0
4,0.0,84,True,65,51.5,51.49998993591345,5.134538166290877e-07,True,206.0,0.0
4,0.0,85,True,66,60.0,60.000009442672024,1.1788345593899407e-06,True,240.0,0.0
4,0.0,86,True,63,41.0,41.00000170516986,1.4914402116135802e-06,True,164.0,0.0
4,0.0,87,True,74,35.75,35.74999945562887,3.136837341920674e-07,True,143.0,0.0
4,0.0,88,True,73,60.25,60.24957412237596,8.518739244199286e-06,True,241.0,0.0
4,0.0,89,True,65,78.5,78.50000183515724,3.292632749099151e-07,True,314.0,0.0
4,0.0,90,True,71,40.25,40.24998501710665,7.078952290327936e-07,True,161.0,0.0
4,0.0,91,True,61,54.5,54.500016913243186,6.468147472794979e-07,True,218.0,0.0
4,0.0,92,True,61,50.5,50.500058784777764,1.7423805622421818e-06,True,202.0,0.0
4,0.0,93,True,64,48.75,48.749989471726565,6.449024054652397e-07,True,195.0,0.0
4,0.0,94,True,67,66.5,66.50000323238378,1.7356111065306609e-07,True,266.0,0.0
4,0.0,95,True,63,71.25,71.2498885335487,2.633151612086661e-06,True,285.0,0.0
4,0.0,96,True,60,69.0,68.99998645089245,3.650922782130066e-07,True,276.0,0.0
4,0.0,97,True,72,51.75,51.750002966545,6.281868629141332e-07,True,207.0,0.0
4,0.0,98,True,66,55.5,55.50000907211194,1.0791159146241715e-06,True,222.0,0.0
4,0.0,99,True,59,44.0,43.999948024874506,1.972084186497757e-06,True,176.0,0.0
4,0.0,100,True,70,30.5,30.499936237161865,2.4586020497300062e-06,True,122.0,0.0
4,0.05,1,True,87,43.25,43.22265155942852,0.0006323338860457728,True,173.0,0.0
4,0.05,2,True,108,51.0,51.00002274209697,4.4592347000123783e-07,True,203.99999999999997,1.1102230246251565e-14
4,0.05,3,True,69,51.75,51.750624938836864,1.207611278958218e-05,True,207.0,0.0
4,0.05,4,True,76,55.75,55.749982593803225,1.3718639445363756e-06,True,223.0,0.0
4,0.05,5,True,77,40.5,40.50000278118884,5.330860118328648e-07,True,162.0,0.0
4,0.05,6,True,98,71.0,71.00000752193972,9.325869287204594e-07,True,284.0,0.0
4,0.05,7,True,59,52.25,52.250009434348996,1.4645087703227189e-06,True,209.0,0.0
4,0.05,8,True,79,77.5,77.50229596954094,2.977861843801623e-05,True,310.0,0.0
4,0.05,9,True,106,68.25,68.24047570429316,0.000139550120246678,True,273.0,0.0
4,0.05,10,True,129,42.25,42.25000275944066,7.646424976953242e-07,True,168.99999999999994,3.3306690738754696e-14
4,0.05,11,True,59,31.25,31.24997412586353,2.893383584193998e-06,True,125.0,0.0
